,阅读数,评论数,标题,作者,最后更新
24,33.2万,6097,上个帖子发布一年多了，目前大盘指数多了300多点。在,熊吃人,08-24 09:07
25,1659,3,8.24  早评  旗手的异动是市场做多的开始么？,不喝啤酒的啤酒肚,08-24 09:07
26,4511,206,【作于东方网络涨停时】,黄金大道kx,08-24 09:07
27,14,0,市场利好消息,京居报道,08-24 09:07
28,6,0,8月23日，上证指数小幅低开后，有上行趋势，证券板块,梦染衣,08-24 09:07
29,111,1,昨天下午进场接飞刀，半仓，原因是：飞刀股今天开盘还,诊断者,08-24 09:07
30,38770,1739,想我大A最近这十多天，对持股的人来说，就象是一场灾,西红柿子番茄子,08-24 09:07
31,375,3,大家早上好，昨夜美股三大指数小幅下跌，富时A50拉升0,广东女侠,08-24 09:07
32,3539,40,2022年8月23日A股市场热点梳理+涨停复盘！,鹏哥分析,08-24 09:06
33,12688,52,畜牧行业最低谷已过，进入新一轮上行周期,畜牧ETF,08-24 09:06
34,1035,8,刚刚吃过晚饭，市场传来两条信息，一起来看看：1、任,广东女侠,08-24 09:06
35,10922,447,2022年下半年怎么走？？？,Sax淡泊名利,08-24 09:05
36,13,0, 不知道今儿怎么样。,澶煎敚,08-24 09:05
37,74,1,8.24财经新闻早报1.任正非：全球经济衰退，华为应改变,三万封板,08-24 09:05
38,97017,1077,今日继续震荡上攻,萍踪狐影,08-24 09:05
39,936,32,黄国东：下周很关键，股市预测,黄国东论市,08-24 09:05
40,1318,28,股市生涯十余年，从无到有！总结了以下几点做低吸的经,鹏哥分析,08-24 09:05
41,22,0,昨天能源大涨，今天走分歧，正好做主线龙头。目标昨天,漠漠孤烟垂大野,08-24 09:05
42,1,0,高位出现我们小散东财拉萨帮，就代表筹码分散，平常有,接力王者,08-24 09:05
43,33,0,妙妙早盘预判今日—看涨，探取3300震荡区间：3250—33,妙妙小宝,08-24 09:05
44,311,9, 在股市里的典型的韭菜思维,jas123456,08-24 09:04
45,14523,422,返场福利【如果精准找买点】,RocO,08-24 09:04
46,19,0,最近啥情况,自选股之王,08-24 09:03
47,89,1,昨天周二大盘基本维持窄幅震荡整理的格局，昨天说了：,财哥看盘解析,08-24 09:03
48,33,0,本周可以关注人工智能板块氢能源板块相关个股机会,百灵鸟识盘,08-24 09:03
49,16,0,科技强国,橄榄樹,08-24 09:03
50,1683,31,思危，思变，思退！思想有多远，牛市就有多近。股市总,投资之吻,08-24 09:03
51,4082,60,上证指数：行稳致远,星云123321,08-24 09:02
52,26,0,今天继续上涨！,股友eEyEWM,08-24 09:02
53,30,0,宁王带领大盘闯关[上涨][上涨][上涨][上涨][上涨][献,基民pyTOhr,08-24 09:02
54,17,0,注意节奏把握,蒙哥心材,08-24 09:02
55,34,0,今天百分之百往下跌,红绿龙弹焰,08-24 09:01
56,37,0,大盘离变盘时间越来越近了，方向不明。今天大盘支撑32,西索8889429,08-24 09:01
57,720,6,午后A股被撞了腰，缓过劲后还会上攻！,庄哥天堂湖,08-24 09:00
58,367,3,两大龙头业绩超预期，大盘冲击3300点稳了！,红火之点股成金,08-24 09:00
59,714,5,8.23收评-指数站上3280又跌破，明天还要横盘继续修复,打板哥老付,08-24 09:00
60,4654,74, 一针见血：靓仔，我关注你好久了。当都以为明天解禁会,大牛前行,08-24 08:58
61,94,2,大盘我看到4000点！,连涨18天,08-24 08:58
62,28,0,转发,斐然善贾得牛魔,08-24 08:58
63,3020,32,果然还是银行砸盘！今日巨亏26934元！A股今天的走势我,百万实盘投资日记,08-24 08:57
64,263,1,券商带盘无果，主力当前可能在借警惕杰克逊霍尔央行年,文才武略88,08-24 08:57
65,4090,260,横久必变！！！需要看票的朋友下方点赞留言，闲时一一,前线股指,08-24 08:57
66,1686,27,啥也不说了，严重被套，这些银太坏了...但是我是散户,柳云释8,08-24 08:57
67,71,0,从康龙化成低位减持50亿元看清两个事实！,价值趋势模型,08-24 08:57
68,35,0,获利巨大，清仓撤离,股友037m8D6662,08-24 08:57
69,304,3,于极迷处识迷，则处处醒,瑞秋瑞秋瑞秋,08-24 08:56
70,102,0,狙击作手【8.24早盘】：今天要有大动作！！本号主要记,狙击作手每日直播,08-24 08:56
71,3765,133, 【六十九万平台款炒股的未来……】二二年第九十次交易,疯皇捏盘,08-24 08:56
72,47,0,我的自选股只有新柴没有涨,自选股之王,08-24 08:55
73,81,0,早评：美股微跌，道指跌0.47%，标普跌0.22%，纳指跌0.,好习惯终生受用,08-24 08:55
74,668,70,好事将近，耐心等待[呲牙]，收盘休息。,股虫已老,08-24 08:55
75,1709,34,沪深股市午评8.23：早盘该涨不涨，出现异动，应该逢高,游击战阵地战,08-24 08:55
76,20767,74, 下周总体下跌,安泰_antai,08-24 08:55
77,707,6,交流贴，盘面复盘分析,木子趋势,08-24 08:54
78,63,0,风险提示：A股大盘涨跌风向标：28万亿规模的基金机构,股海翱翔55,08-24 08:54
79,71,0,大家早上好，昨夜美股三大指数小幅下跌，富时A50拉升0,坤阳股战场,08-24 08:54
80,72,0,大家早上好，昨夜美股三大指数小幅下跌，富时A50拉升0,坤阳股战场,08-24 08:54
81,52576,2896,$上证指数(SH000001)$财经新闻,股路漫漫其艰辛,08-24 08:53
82,234,15, 有哪些帮助你炒股的建议？,A巴菲鹏,08-24 08:53
83,55,0,自从来了新三板，我的第一感受就是，我再也不会去主板,消毒到底的消毒液,08-24 08:52
84,44,0,丶2+%%%,空镜头1203,08-24 08:52
85,5358,330,明日还有冲高，谨防冲高回落。需要看票的朋友点赞留言,前线股指,08-24 08:51
86,12629,543,进入八月...（08-01）,心依旧_wang,08-24 08:51
87,1352,3,注意！这个方向正在启动！,爱分析的阿利,08-24 08:51
88,887,11,大盘开始日线级别周期回落了，都小心点吧！,抓阄派闪电,08-24 08:50
89,23896,13,周二晚间市场三个消息！,爱分析的阿利,08-24 08:50
90,353,0,看了看其他人的条件单，感觉大多数人没有明白买卖浮动,海底老纵队,08-24 08:49
91,50,0,昨日大盘指数开盘后继续横盘震荡，至收盘微跌1个点。,韭菜集中营,08-24 08:49
92,50,0,[看空][看空][看空][看空][看空][看空][看空][看空],n542613367889310,08-24 08:48
93,112,0,老杨【8月24日早评】昨日突破3280失败，今日继续围绕,老杨投资日记,08-24 08:48
94,46,0,08月24日大盘策略：3285之上加仓嗨皮！3273之上持股待,广东粤意,08-24 08:47
95,4584,39,没有重要利好支撑，今天大盘下跌概率大一些！,小学生听话赚钱,08-24 08:47
96,69,0,一队腾讯阿里碧桂园二队中石油三队蒙牛达利园,n存在与虚无,08-24 08:47
97,507,2,晒收益：小亏两千，宁德大利好对冲二大利空，明天怎么,王智俊,08-24 08:45
98,971,17,临近收盘！A股再度震荡盘整，券商异动拉升！明天市场,鹏哥分析,08-24 08:45
99,48276,754,发帖难，看多更难（8.23周二操作计划分享）,畅享快乐,08-24 08:44
100,42,0,转发,中国哲学院,08-24 08:43
101,2306,9,大盘本周有望收复3300点,酷拉皮卡小杰,08-24 08:42
102,60,0,今天危险哦,改个名解解毒吧,08-24 08:42
103,999,2,$上证指数(SH000001)$关于有色行情的中长期判断个人认,中色南方稀土新丰,08-24 08:42
104,677,3,$上证指数(SH000001)$有色发力，至少涨十年，大宗商品,中色南方稀土新丰,08-24 08:42
105,203,5,[cp]大盘狗庄做出的图形来分析。正在酝酿一个中阳线或,量能与角度,08-24 08:41
106,9505,132,未来两天,中天华一,08-24 08:40
107,100,1,财经陈译辉天天胡乱预测，都去举报他。他又预判9月1号,股友C59536260u,08-24 08:40
108,49,0,今天的光伏等于昨天的医药，也许比医药还惨，真佩服接,风华正茂丶,08-24 08:40
109,96,1,晚间市场主要有两大利好：一是宁德时代公布业绩爆棚；,蔚蓝尤佳,08-24 08:40
110,1826,0,早谈：原油反弹美股微跌，今天A股大概率这么走,王智俊,08-24 08:39
111,4878,41, 大盘3243上下5个点精准止跌意料之中，明天大盘在3289,今日李财,08-24 08:39
112,192,0,2022.08.24大盘分析,每日缠解大盘,08-24 08:39
113,193,0, 指数今天要有大动作了我感觉今天要有大动作了，正常的,作手狙哥,08-24 08:38
114,69,1, 下来了。,铁血看客,08-24 08:37
115,56,0,乾坤倒转征程第六十八天。友友们，干杯！！！胜的。[,粤P47959,08-24 08:36
116,53,0,本周不需要过高的点位，能在目前点位上成功确认站稳，,STEVEN探索发现,08-24 08:34
117,66,0,11月前不会跌也不可能跌更不能跌,股友3VL7681090,08-24 08:32
118,1204,32,大家还好吗？名和利都是身外之物，淡泊名利才会活得更,白水仙精灵,08-24 08:31
119,620,1,欧美绿油油的一片，我大A今天能否率先反弹一下,三秋一十三,08-24 08:31
120,84,0,昨夜，有色金属板块涨幅居前，贵金属风口即将来临。,奥利奥变奥拓,08-24 08:31
121,71,0,【牛市开始时在盘面的信号？？？】你要想知道很简单，,万泉河小舟,08-24 08:29
122,210,1,8月24号上证指数分时预测图(林烝分时策略）,林烝森林,08-24 08:28
123,429,1,"股道剑心的百万实盘日记，2022.08.23 今日战况：+3,03",股道剑心,08-24 08:27
124,1820,70, 在这浅秋的日子，我们希望这浅秋的风不要吹的太大，今,北京小影,08-24 08:26
125,117,0,昨天股指小幅低开振荡探底后回升冲高，然后逐步回落收,孙彦民1,08-24 08:25
126,98,0,8月24号早盘上证指数趋势交易分析分享,石头哥趋势交易,08-24 08:24
127,184,2,月底之前，股票中报要披露完毕，但中报后期披露的有雷,股友999c9F8168,08-24 08:23
128,59,0,$上证指数(SH000001)$,石头哥趋势交易,08-24 08:22
129,860,5,手握现金，迎接寒冬！,牛小散战队,08-24 08:20
130,80,0,今天大盘大概率低开高走，预计红盘10-20个点收盘。电,元问zcyiwk,08-24 08:19
131,93,0,全面注册制已经是确定性的事了，券商板块现在处于低位,低位反弹,08-24 08:18
132,71,0,今天天气终于降下来了，很多地方开始下雨了，电力的紧,说话都带韭菜香,08-24 08:14
133,99,0,本周全球天然气行业风声鹤唳，除了欧美期货可预见的历,murongjinri,08-24 08:13
134,66,0,南钢股份十大流通股东中：１、牛散：熊立武，加仓南钢,青青岛,08-24 08:13
135,72,0,油价五连降，今天新能源车跌停潮！,无当飞将,08-24 08:13
136,133,0,8.24早盘,读之者,08-24 08:10
137,434,4,跟大家讲个故事，踢加1和踢加0的区别。,股友vkRvBA,08-24 08:10
138,70,1,昨天北向资金被咱们大玩特玩的风格漂移和抱团炒作吓跑,对嗜血者以血还血,08-24 08:10
139,734,6,老杨【8月23日收评】下午再次跌破3280，这意味着明天,老杨投资日记,08-24 08:06
140,63,0,//@万泉河小舟 :答读者问：“后市如何”？？？,万泉河小舟,08-24 08:05
141,75,0, 对于指数没什么可说的，依然是震荡调整，节奏上还是快,老A侃股,08-24 08:02
142,100,2,【多粉伪装陷阱1】d,逆水行华亚ruo智暴跌39,08-24 08:02
143,1170,2, #锂电池板块回暖锂矿股领涨#鞍重股份一万吨碳酸锂四季,追求复利2020,08-24 08:01
144,8787,138,调整时间周期预判 ：时间节点8.11， 8.15 ，8.23-8.25,波浪涛韬,08-24 08:00
145,189,0,早评：再次冲击3300！有望突破近期小平台！人狠话不多,吾本将本求财,08-24 07:59
146,3938,32,神预测蓝思科技两次屠杀,远离无诚信造假股,08-24 07:59
147,215,0,北水流出91亿，指数不跌就是强，盘中券商一度护盘，但,犇驰17944,08-24 07:59
148,194,2,美国指数小幅下跌，锂电池逆势大涨5%，A股今天锂电池,炒股参谋,08-24 07:59
149,164,0,万丰奥威～“镁”好未来 全球镁合金轻量化产业绝对龙,天通财神,08-24 07:58
150,45642,1242,6124后浪型,海纳百川zhzp,08-24 07:57
151,25.3万,7736,龙哥的终极贴：路漫漫其修远兮，吾将上下而求索。紧贴,杭州龙哥,08-24 07:56
152,66,0,多做观测少做预测如有不测要有对策,三千万为止,08-24 07:55
153,67,0,今天收盘3240？,韭菜界传奇,08-24 07:55
154,75,0,昨天北向资金被咱们大玩特玩的风格漂移和抱团炒作吓跑,对嗜血者以血还血,08-24 07:55
155,1458,3,策略丨煤炭畜牧强势上涨，散户基民该怎么操作（附板块,小沐投资笔记,08-24 07:53
156,63,0,宁王万亿市值半年也就赚82亿，一片欢呼，不知哪里值得,张方醒,08-24 07:53
157,439,5, 马前炮，今天上午10.46分享的002689远大智能，当时跌4,爆哥jyzwx88,08-24 07:52
158,542,12, 从此与个股无缘[旺柴][旺柴][旺柴][旺柴][旺柴][旺柴],海底老纵队,08-24 07:52
159,54,0,昨天北向资金被咱们大玩特玩的风格漂移和抱团炒作吓跑,对嗜血者以血还血,08-24 07:52
160,146,0,【股市早评】一、财经消息1、隔夜美股三大指数微跌 ，,三万封板,08-24 07:48
161,60,0,今早忽然狂风大作，气温陡降，开了二个月的空调终于关,无当飞将,08-24 07:47
162,162,0,【股市早评】一、财经消息1、隔夜美股三大指数微跌，,三万封板,08-24 07:45
163,59,0,天时地利人和，今明两天中大阳线，开启新的征程！,技术分析扫地僧,08-24 07:44
164,81,0,大白马来了,百万实盘投资日记,08-24 07:43
165,54,0,今天上证高开,氵盧山,08-24 07:43
166,126,0,隔夜米股三大股指全部收跌，但是a50期指收红，外围环,三万封板,08-24 07:42
167,66,0,今天可能收实体阳，本周最后一根阳线。,绝处萌芽,08-24 07:41
168,65,0,宁德时代业绩比一季度好太多大超预期，今天A股创业板,Wsneve,08-24 07:36
169,134,0,沪指假阳十字星，内外资分歧明显,风飞天涯之讯,08-24 07:34
170,125,2,当市场缺乏带头大哥带领冲关的时刻，宁王出现了，来的,强囯梦终会实现,08-24 07:33
171,2227,6,策略|这一迹象表明接下来A股或会突破3300点原因是这个,龙行天下虎呀,08-24 07:27
172,130,0,8.24早盘，乱世出英雄,老朱炒股2,08-24 07:26
173,47,0,从今天开始，沉下心来，认真学习再求回报，感恩遇见，,爱追鱼的猫,08-24 07:26
174,132,0,风险解除！A股今天完整剧本出来了，不管你是持仓还是,三万封板,08-24 07:22
175,339,0,不得不说的一支潜力股,曾书书战记,08-24 07:21
176,177,0,【财经日报】A股弱势盘整创指涨0.05% 燃气板块涨幅居,韭零后投资,08-24 07:13
177,148,3,涨跌个股一半对一半，我拖后腿了，红一绿三，不好意思,生财钵满地孙膑,08-24 07:06
178,257,3, 指数这个位置要决定方向。要么向上，要么向下，向上会,惜天复盘,08-24 07:05
179,81,0, 福田汽车焦点访谈栏目,股友dOzbzE,08-24 07:04
180,8187,10,小妹操作：上涨不要追，保持低吸，今天买入这些！,是小妹吖,08-24 07:04
181,84,0, 重磅新闻，福田汽车互联科技央视焦点访谈栏目，今日关,股友dOzbzE,08-24 07:04
182,132,1,2022.8.23天齐清仓，换陕天然气，44手。盈方微没动，,BN凌凌7,08-24 07:02
183,396,1,《打蛇打七寸，抓住华设集团重点之重点》一，大牛市环,阳光半城,08-24 07:01
184,128,2,3300会有反复！2863必破！2400就是底部区域？,赌市无形大手888,08-24 06:59
185,10238,71,横刀狂歌：上周半导体大幅下杀，再次满仓就是我的态度,横刀狂歌,08-24 06:58
186,78,0,周边市场收阴，A股走势独立行情？会吗？,金玉民丰得张无忌,08-24 06:58
187,252,6,真的不能炒股票了，再玩家，车，房都要没了，你们是不,无当飞将,08-24 06:58
188,79,1, 今年反败为胜[拳头][拳头][拳头][财力][财力][财力],年年小余,08-24 06:58
189,502,19,4年了，今年亏30多万，累计亏40多万。。心累。,悟道中2022,08-24 06:57
190,81,0,8月23号收十字星，大A要变盘了.,查尔斯1636,08-24 06:55
191,64,0, $上证指数(SH000001)$,骑着毛驴坐高铁,08-24 06:53
192,1333,5,实盘挑战百万到千万，第6天（8月23日）八成仓,麟神lin1805178,08-24 06:51
193,197,3,下半年估计不会好，慢慢震荡下行，有同意吗？,追风人777,08-24 06:48
194,59,0,今天起来看到一片大草原,苏德铲,08-24 06:44
195,62,0,宁王家人们，540以挂单,打板异族,08-24 06:41
196,106,0,宁王千万别高开低走砸！！！今天突破3300概率大！高标,财源多谋地任我行,08-24 06:39
197,73,0,牛肉，我没吃到，吃到牛S了。,永不言败得宙斯,08-24 06:37
198,150,2,关注：中材节能，道明光学，中恒电气，凯撤文化,点股成宝,08-24 06:31
199,84,0,今天继续关注——光伏，BIPV，油气，传媒，证券有震，,骑扬满斗地江浩,08-24 06:28
200,537,1,永泰能源上半年扣非净利增长138% 煤电主业向好加速布,股友iI9oZN,08-24 06:27
201,309,0,《工设板块最低估值：华设集团，历史底部14个月换手67,阳光半城,08-24 06:26
202,245,1,全国广大最微个体投资人注意,共同润,08-24 06:24
203,107,1,今天百分之二,空仓等待一年一买,08-24 06:19
204,2988,61,[护城河][护城河][护城河]今天探讨一些怎样做好市场交,st涨停大户,08-24 06:18
205,375,7,大盘在预期降息及中字头大金融航天船舶带动下,龍飄四海8,08-24 06:16
206,121,0,第一波元宇宙公司发不出工资了，影创科技被曝欠薪200,jinsuiren,08-24 06:11
207,2045,11,8月24日操作提示,波段1套利,08-24 06:03
208,1689,0,【欧奈尔每日市场回顾-22/08/23】市场状况为上升趋势,威廉欧奈尔,08-24 06:00
209,80,0, $上证指数(SH000001)$,懒惰的韭菜终结者,08-24 05:52
210,123,2, 在老家看了大半年，是时候出来赚点钱过年了,恭喜发财068,08-24 05:51
211,276,5,该跌不跌告诉我们旱地拔葱是大概率事件【太极8.23盘局,股林太极,08-24 05:51
212,880,9, 今天盈利544一共43只红20只绿23只今天新开仓了两个票,大侠五哥,08-24 05:51
213,81,0,走我们自己的路，健康发展。,Iyedfg,08-24 05:40
214,705,1,形态的分析,富可纳福的潘乘风,08-24 05:32
215,237,0,读贴有感220823,没事来聊聊,08-24 05:30
216,796,3,大家有没有发现，同花顺有些板块走势公然造假，比如消,jn股市一哥,08-24 05:28
217,185,3,亏钱的时候大几千，赚钱的时候几百几百，看样子真的不,清晨888,08-24 05:20
218,447,8, 这个人说话真恶心呐。说什么狐狸预测的分析？真恶心。,量能与角度,08-24 05:16
219,131,1, [图片],woof左右逢源,08-24 05:11
220,2767,188,6012220022703005076031056039016035786006,卖酒人徐,08-24 05:03
221,616,2,【22-8-23晚】北上资金疯狂流出近百亿，不影响后市向,宽客苏,08-24 04:46
222,6805,18,在不确定中寻找确定性,熙凤吖,08-24 04:29
223,950,24,技术分析-MACD在8月2号给大家做了一个KDJ的一个普及。,富可纳福的潘乘风,08-24 04:20
224,119,0,粤桂股份,吞噬星空少将罗峰,08-24 04:15
225,63074,88,今天是8月22号，晚上19点35分钟，刚得知三大消息，马,股侠钟超,08-24 04:01
226,208,2,一句话，悲观者正确，乐观者赚钱！什么时候没有困难的,牧童黑白马双骑,08-24 03:58
227,640,3,技术分析总结很多人也许误打误撞地进入了股票交易的市,富可纳福的潘乘风,08-24 03:58
228,17.9万,2897,以后10年的炒股建议。做多中国。远离美国,小草田伟,08-24 03:56
229,1722,39,日线波动区间估测！,陆亦佳2198,08-24 03:55
230,298,0,技术分析此技术分析。为布林线，看懂布林线。对于一些,富可纳福的潘乘风,08-24 03:54
231,112,0,中国平安5元钱时代才是正常，价值投资,幸运同行,08-24 03:39
232,3927,76,一夜之间风向变了。今盘咋走，权重说了算，高开多少？,北京小影,08-24 03:33
233,316,0,习酒借壳进入加速期！习酒的控股权一分为三：@茅台18%,足智成章的花无缺,08-24 03:24
234,360,12,吧里股友推荐了振华股份，603067代码，这个票今天创了,炒股参谋,08-24 02:43
235,785,6,购买厚普股份理由，目前17元，目标价150元，还有8倍。,看好努力奋斗企业,08-24 02:38
236,2679,0,南都电源与中国铁塔合作！,赛萨联造热者,08-24 02:29
237,119,0,马斯克宣布将于9月30日推出人形机器人进行投产！,赛萨联造热者,08-24 02:26
238,1468,5,人形机器人是未来！改造火星先开者！,赛萨联造热者,08-24 02:23
239,6039,20,燃油车 VS 新能源车，后期维修，谁更省钱,趋势与取舍,08-24 02:20
240,3481,102,明天这跟阳线不被击穿安全，击穿不看好，仓位控制好等,荒原草丶,08-24 02:18
241,326,0,重温二十年前的任老讲话[微笑]《华为的冬天》公司所有,牧童黑白马双骑,08-24 01:45
242,2699,38,周末愉快。近期蛇口就是比保利强温式就是比牧原强。至,兔兔爱吃鱼,08-24 01:45
243,118,0,市场高度再次压缩，有人比做是砸锅行情，连板到现在都,n586713332698476,08-24 01:43
244,2608,9,A股，企稳上行,欢喜老船长,08-24 01:43
245,110,0,#“锂王”涨停回应锂价分歧#胜利精密全市最便宜锂电池,股友f0829158k0,08-24 01:40
246,106,0,#聚焦热门中报解读，挖掘隐藏投资机会#胜利精密全市最,股友f0829158k0,08-24 01:40
247,3230,57,今天8.12号周五这是说大盘指数的最后一贴了然后暂时封,soemke,08-24 01:36
248,6050,44,《趋势哥收盘复盘》2022/8/19，记录下今年短线交易，,趋势哥大侠,08-24 01:35
249,115,0,中国移动采购20000个华为5G通讯手机壳，由数源科技研,A200818A,08-24 01:34
250,112,0,我只想说，除了狐导，唯一让我叹为观止的神，每个月就,基民代表人物,08-24 01:33
251,122,1,成交量低迷，说明大量散户被套，离场的人越来越多，庄,花开暴富得游坦之,08-24 01:29
252,584,7, 这星期白玩了[怒],多狗拖院长,08-24 01:28
253,132,1,华为都有可能倒，那小盘股还能活吗？答案呼之欲出,获利盘与套牢盘,08-24 01:27
254,10114,45,阿狸复盘8.22,阿狸复盘,08-24 01:26
255,99,0,中石油涨到二十四块左右，5OO0点可以滴,辛勤工作地白羊座,08-24 01:26
256,306,4,现在就是整个A股被新能源光伏绑架了，其他板块一旦拉,我的天啊2,08-24 01:22
257,1946,44, 看图，本周我的进账！2022年08月13日。,高回低买,08-24 01:18
258,243,8,2：30砸盘，别拦着。,股友999c9F8168,08-24 01:11
259,3016,4,操作贴:券商拉动大盘，主流板块还有希望不？,小苹果滴滴哒,08-24 01:08
260,538,4, 大家好，今天指数已在站上二十均线并回撤一下二十均线,陈哥实战,08-24 01:08
261,112,0,上证指数永远也到不了5000以上了，发行那么多股，指数,和气广进地何书桓,08-24 01:03
262,330,0,老美的做法真是，，，刷屏！任正非高喊“活下来”，称,牧童黑白马双骑,08-24 01:02
263,264,1,任正非：全球经济长期衰退华为要把活下来作为主要纲领,赢盈乐,08-24 01:02
264,1811,31,（8.15-8.19）每周一贴，盘中更新，只做个人判断记录,股海沉浮一世乐,08-24 01:02
265,2041,16, 长得比我还帅。,大牛前行,08-24 00:59
266,211,3,安正时尚(SH603839)$10派5？？牛逼 $安正时尚(SH60383,KL百事可乐29273,08-24 00:56
267,2469,41,开个帖子来说一下短线和中长线,立于晨,08-24 00:56
268,195,3, 挺不错，挺励志的呀！,牧童黑白马双骑,08-24 00:49
269,362,7,外资百亿出货，内外双杀,高追低卖,08-24 00:49
270,4914,12,今天是8月23日，现在20点08分，得知股市有3条重要消息,股侠钟超,08-24 00:47
271,149,2,多少年了依然还是熊市！对得起鸡还是对得起鸭？,快乐云端,08-24 00:45
272,11195,654,关键位置已破！下周一还有下探，关注3266点位，需要看,前线股指,08-24 00:43
273,467,3, 研判、精选、建仓，准备好了吗？[微笑],赢盈乐,08-24 00:40
274,122,1, 为应对全球变暖，英国己使用HⅤ0生物油替代普通柴油！,股友3wjVBh,08-24 00:37
275,118,0,明天碳排放，碳中和概念，绿电等概念开启上涨。,敢暴跌我就买,08-24 00:35
276,4960,1,8月24日打新：STBX上市吃肉，JZ恢复招股；转债组合创,小牛记事本,08-24 00:29
277,5229,16,新旧能源领涨，券商异动，药酒砸盘，又是上车好时机，,大眼海豚,08-24 00:26
278,4526,19,目前大盘正处于三浪上升中，其实到今天为止，市场现在,极致TYT武艺奇艺,08-24 00:25
279,232,0,主力回流助攻力度有限，明天仍需谨慎|资金眼日评2022.,资金眼,08-24 00:18
280,112,0,为应对全球变暖，英国己使用HⅤ0生物油替代普通柴油！,股友3wjVBh,08-24 00:18
281,98,0,上半年经济并不容易，在人家各方面感扰下取得这个成绩,牧童黑白马双骑,08-24 00:15
282,7603,259, 市场很强,酒无常山赵子龙,08-24 00:15
283,4688,5,周二继续逢低吸纳低价筹码，回调是加仓好机会！,江门财富,08-24 00:10
284,785,24,目前三只票走势极其磨人，但不代表走的不好，对人的意,吉祥广进风清扬,08-24 00:07
285,210,0,大盘会涨吗？,股吧 ,08-24 00:05
286,501,0,天道酬牛！下周一铁牛三债有木有惊喜？众泰重整迷雾或,赚得顺,08-24 00:01
287,2027,3,大盘走势分析1：今天大盘探底回升后有冲高回落收了根,波段视觉,08-23 23:59
288,632,13,#半年赚120亿，通威股份化身印钞机#股价天天跌！,农场地主,08-23 23:58
289,108,0,股民就像石缝间的生命，让你从石头缝看到希望的永远是,牧童黑白马双骑,08-23 23:56
290,5659,23,A股，有望完成调整,欢喜老船长,08-23 23:52
291,6547,33,当前行情需要带头大哥,熙凤吖,08-23 23:46
292,129,0,建设机械的锅盖即将盖上，太可怕了，这股聪24元跌到5,股东做短线,08-23 23:45
293,88,0,好标的，今天迎来了第一支涨停[旺柴][旺柴][旺柴],喜欢操底怎么办,08-23 23:43
294,2477,4,追涨杀跌？北上资金狂抛药明康德，医疗何时才能抄底？,小尘理财,08-23 23:43
295,79,0,华为都有可能倒，那小盘股还能活吗？答案呼之欲出，注,获利盘与套牢盘,08-23 23:43
296,1173,7,小心下周月盘收官周机构杀跌：,股海翱翔55,08-23 23:43
297,514,0,悲观到极致也就乐观了,三天俩涨停,08-23 23:42
298,1427,6,白酒又跌险守生命线不用慌，明天反弹概率很大,老基友教你投资,08-23 23:42
299,93,0, 做人痛苦的根源就是理想和现实的差距；填补这差距的是,狙击主力训练营,08-23 23:39
300,207,3, 今年的钱格外好赚。,岁月终将流逝,08-23 23:38
301,1102,9, 9月1日低点,安泰_antai,08-23 23:37
302,320,12,我明天出数源了。目标价已到！[憨笑]看到的是缘分,天路烟尘庄小娮,08-23 23:37
